date,costA,QA,costC,costB,cons_err
2025-06-01,91395.571057753,17386.3023885,73445.72555791416,62359.24123801499,0.07106656219859882
2025-06-02,76090.57575212985,10259.700305897113,74587.68797694666,64767.230989635,0.10751153362293162
2025-06-03,84487.38272908638,15145.466122353904,72459.43573741917,67716.868128785,0.08507519632502551
2025-06-04,66910.74292571621,6794.925691516459,72885.47535211082,65305.751980329995,0.12170265100993474
2025-06-05,91588.5082827099,17526.878661547322,74409.22831100499,69281.22853819499,0.07836682829376326
2025-06-06,38373.61137703,0.0,46759.071346050834,71074.97938976501,2.214497529379134
2025-06-07,39065.31663077,0.0,46691.84700894083,70222.61533681999,2.3799238750400593
2025-06-08,75836.7199299107,13010.684868059661,67493.65341620333,61541.172266655,0.021472715566398494
2025-06-09,71518.95414346975,9472.500266843617,73956.1399154225,70175.77547444,0.10164376888052765
2025-06-10,79839.63086074767,14104.340102823044,73107.30308949834,71880.035413765,0.05429576262255422
2025-06-11,87497.77211829364,14653.078336713985,78928.10903131917,75994.02166269999,0.10027137588982454
2025-06-12,78599.7942055594,12517.21663635802,74582.72687275583,72929.367983225,0.10780302373211047
2025-06-13,39821.49167221,0.0,46248.30978687583,74946.37392025,2.7077123391784683
2025-06-14,38480.382155420004,0.0,45422.42047961999,68598.46994511501,2.9398954615857735
2025-06-15,78033.97822305348,14986.54423683333,71337.51047240666,68729.30616886,0.03025002300466679
2025-06-16,74110.9748566083,11771.60119418518,74270.59615613583,74675.85747229,0.0715839170751265
2025-06-17,78232.16507645379,12671.331158242796,75331.14015880917,76026.27825323,0.08551666055376127
2025-06-18,68023.92491709747,9959.931167333325,71298.69256597666,75179.47905337499,0.1263047146784537
2025-06-19,70008.65672675613,10708.585138392995,71008.42714270583,72439.58979959,0.11507697593056869
2025-06-20,39199.94782709,0.0,43946.77539134917,71500.28951117,3.795447670112372
2025-06-21,34650.34895131001,0.0,42230.04544875667,66011.079055285,3.8565491288463614
2025-06-22,73717.8885305479,12737.891085697522,68616.923371325,67522.0615947,0.029557992777888894
2025-06-23,64339.963687666575,9129.83074420987,70209.64140284,70088.70655172999,0.06077522228927023
2025-06-24,74572.04380266284,9156.47704824485,79066.00518166833,78020.23172983,0.1097588242841771
2025-06-25,75304.75763909004,12375.25908915637,71976.32122746498,75374.233000435,0.1181516276464038
2025-06-26,68777.48960904164,11027.73326516666,69913.63315469833,70800.980037665,0.0716090345645585
2025-06-27,38371.611767320006,0.0,43733.313242599164,66120.581237245,4.360021853422136
2025-06-28,35712.54830492,0.0,42587.73675670166,69014.28515252,3.395740555442632
2025-06-29,80639.64841815952,15839.75872241563,70141.63564112417,68074.021089275,0.025191880720615116
2025-06-30,70759.65819944415,10999.85836483333,71572.559272535,72974.247240425,0.11820224404318293
2025-07-01,114902.17558231713,26384.055002069952,79555.51716063499,466874.79870355,0.021235064398567757
2025-07-02,94776.1769558973,20346.229745222212,74050.38996917667,428775.26468366,0.02002019618600573
2025-07-03,104767.79318418048,21017.23612886625,80885.94810391167,69386.942837385,0.024175114990493747
2025-07-04,34328.164396349996,0.0,47492.9112004325,65425.38167508,1.838458357763009
2025-07-05,33561.00194488,0.0,47276.48861577083,125108.12953348999,1.758130198528552
2025-07-06,115751.91696986744,26226.364868672834,81258.90846758834,405873.832574775,0.022524497345593125
2025-07-07,82606.97625331448,15373.48504635802,73489.27818559165,407595.02396481,0.020020822883886416
2025-07-08,85443.74412225299,13920.566817333332,78816.80339141749,70103.94352141,0.0305225832149962
2025-07-09,77111.83875514657,11381.498710069955,76268.37686209084,69609.106546375,0.04838564020025011
